F16013,F12506,F15001,F30700,F16143,F15007
000060,20110411,12200,12200,87269690,0
000070,20111205,82300,82300,5756186,0
000075,20111205,51000,51000,222420,0
000080,20091019,42450,42450,42995303,0
000087,20110926,13950,13950,1130138,0
000120,20090515,82000,82000,22812344,0
000150,20121227,129000,129000,20858821,0
000155,20121227,38400,38400,4411074,0
000157,20121227,37400,37400,985685,0
000180,20141229,1940,19400,5775160,0
000240,20121004,18850,18850,28314860,0
000400,20141229,2343,2735,67280000,0
000590,20100127,45350,45350,474234,0
000640,20130408,104500,104500,4133412,0
000680,20100511,8350,8350,71527542,0
000700,20091229,7571,14000,28567032,0
001060,20141229,13081,14550,14770978,0
001065,20141229,10231,11350,143117,0
001067,20141229,14697,16300,75193,0
001260,20120316,40531,11700,2203894,0
001290,20140120,1240,995,63737067,0
001340,20141229,2134,2390,31211241,0
001360,20120120,2103,2495,7589733,0
001440,20121108,21425,8570,125683425,0
001520,20110214,12750,2550,75510805,0
001525,20110214,9038,602,6231832,0
001527,20110214,16583,1675,3115916,0
001529,20110214,22979,1530,931543,0
001530,20141229,69686,74500,2213747,0
001630,20131206,48000,48000,3640950,0
001790,20141222,25050,25050,7508720,0
001795,20141222,12900,12900,540230,0
001799,20100409,12732,30500,108046,0
002030,20131106,119000,119000,1443120,0
002240,20141229,38453,42700,15000000,0
002410,20121205,16895,37800,1002655,0
002630,20140328,475,555,100232359,0
002710,20141229,2690,2690,19000000,0
002720,20141229,2155,2385,15868708,0
002780,20120316,8791,2300,27547719,0
002790,20141229,101500,1015000,79790980,0
002795,20141229,47600,476000,6443770,0
002820,20141229,6851,6940,12250990,0
002990,20101124,132482,18450,107749430,0
002995,20101124,76632,10300,2045863,0
003000,20141229,9921,18400,31097011,0
003060,20090527,4489,4025,6105371,0
003220,20141229,12132,13850,16360638,0
003490,20130916,32686,36600,58675438,0
003495,20130916,9355,12400,1110794,0
003547,20071109,0,0,0,0
003850,20141229,7094,38850,7668000,0
004100,20141229,920,9200,36700000,0
004105,20141229,651,6510,3300000,0
004150,20141229,6409,10650,43624470,0
004200,20160310,11000,9000,8215000,0
004270,20141229,1135,11350,36212160,0
004720,20091230,6481,620,58494864,0
004840,20121019,5226,5760,12298274,0
005030,20141229,1414,1820,13120400,0
005360,20141229,2680,2945,13897307,0
005880,20111124,307350,31050,13238254,0
005960,20141229,22215,1050,50040163,0
005965,20141229,15855,700,3342365,0
006120,20141229,38503,64000,20843047,0
006125,20141229,15831,27300,2817125,0
006200,20141229,876,1110,28563961,0
006740,20141229,2190,21900,22200000,0
006840,20120917,22486,23200,5696000,0
007280,20141229,3600,26700,10000000,0
007460,20130430,2642,2190,7177268,0
007575,20140328,16550,16550,445080,0
007630,20140113,1185,1185,11787198,0
007660,20000822,4000,4000,31000000,0
008560,20141229,3577,3910,311782377,0
008930,20100730,44638,50200,11924230,0
009180,20141229,2218,2355,48003452,0
009190,20130107,9731,1725,5330188,0
010960,20020716,1230,1230,14300000,0
011000,20140829,4919,1070,11481590,0
011160,20140203,12524,14250,55185231,0
011200,20141229,63799,9900,169273229,0
011330,20120201,13415,955,26704003,0
011760,20141229,26343,29950,22329802,0
011810,20141229,49974,375,268607348,0
013570,20141229,6580,7560,31665308,0
014580,20141229,2460,24600,27583100,0
014830,20141229,43097,58100,6585069,0
015540,20091127,25717,820,24551939,0
016380,20141229,8242,1415,60649364,0
016385,20141229,8939,1680,2565350,0
016880,20130430,3060,3060,42503966,0
017180,20141229,2210,2480,17510000,0
017800,20141229,51964,55700,19632513,0
018670,20141229,90914,94000,8712110,0
019170,20141229,4305,4305,43594300,0
019175,20141229,2955,2955,2200000,0
019590,20190108,1160,1160,60142180,0
020560,19991228,5900,5900,170000000,0
021880,20131025,648,1005,18634874,0
023810,19991228,1031,15000,6000000,0
024110,19991228,4930,4930,384936900,0
024720,20121019,8790,8790,9381076,0
025620,20131227,16127,1415,49102325,0
026940,19991228,1756,11450,5160000,0
027970,20141229,2094,369,63511730,0
028050,20151229,12450,12450,40000000,0
028670,20140124,9735,6490,120887541,0
030790,20001226,8410,9900,27200000,0
031440,20010807,11700,11700,3428600,0
032350,20130906,6574,10900,24613632,0
032560,19991228,4075,7900,4590000,0
032640,20000921,5720,5720,190700000,0
032860,20150825,6816,2280,16825074,0
033250,20140627,1060,1215,16590525,0
033270,19991228,2983,30000,12500000,0
033430,20170411,1369,5030,9248139,0
033920,19991228,3017,3060,5915000,0
034120,19991228,55000,55000,20300000,0
034310,20101126,7100,71000,34586570,0
